stop_id,zone_id,location_type,stop_name,stop_desc,stop_lat,stop_url,stop_timezone,wheelchair_boarding,parent_station,preferred,stop_lon,stop_code
1260:1,,0,Olive Westbound @ Wilson,,43.893383,,,1,,2,-78.839031,1260
1261:1,,0,Olive Westbound @ Highland,,43.892828,,,1,,2,-78.841487,1261
1262:1,,0,Olive Westbound @ Lasalle,,43.892535,,,1,,2,-78.842817,1262
1263:1,,0,Olive Westbound @ Verdun,,43.891779,,,1,,2,-78.846057,1263
1264:1,,0,Olive Westbound @ Ritson,,43.890989,,,2,,2,-78.849481,1264
1265:1,,0,Olive Westbound @ Drew,,43.89046,,,2,,2,-78.851768,1265
1266:1,,0,Olive Westbound @ Court,,43.889641,,,1,,2,-78.855284,1266
1276:1,,0,Gibb Westbound @ Montrave,,43.8881292,,,1,,2,-78.87118169999998,1276
1277:1,,0,Gibb Westbound @ Grenfell,,43.887291,,,1,,2,-78.874471,1277
1278:1,,0,Westbound @ 450 Gibb,,43.88680200000001,,,1,,2,-78.87697,1278
127:1,,0,Cochrane Southbound @ Medland,,43.909537,,,1,,2,-78.966002,127
1280:1,,0,Gibb Westbound @ Stevenson (West side stop),,43.88595200000001,,,1,,2,-78.880912,1280
1281:1,,0,Gibb Westbound @ Waverly,,43.885118,,,1,,2,-78.884574,1281
1282:1,,0,Gibb Westbound @ Vancouver,,43.884493,,,1,,2,-78.887244,1282
1283:1,,0,Gibb Eastbound @ Vancouver,,43.884355,,,1,,2,-78.88744699999998,1283
1284:1,,0,Gibb Eastbound @ Waverly,,43.885076,,,1,,2,-78.884308,1284
1285:1,,0,Gibb Eastbound @ Stevenson (West side stop),,43.885932,,,1,,2,-78.88051299999998,1285
1286:1,,0,Gibb Eastbound @ Stevenson (East side stop),,43.88625932,,,1,,2,-78.87870599999998,1286
1287:1,,0,Eastbound @ 431 Gibb,,43.886764,,,1,,2,-78.876312,1287
1288:1,,0,Gibb Eastbound @ Grenfell,,43.887267,,,1,,2,-78.874165,1288
1289:1,,0,Gibb Eastbound @ Montrave,,43.88775900000001,,,1,,2,-78.87204699999998,1289
1297:1,,0,Olive Eastbound @ Court,,43.889552,,,1,,2,-78.855367,1297
1298:1,,0,Olive Eastbound @ Drew,,43.890302,,,1,,2,-78.852093,1298
1299:1,,0,Olive Eastbound @ Oshawa Boulevard,,43.891187,,,1,,2,-78.848202,1299
129:1,,0,Cochrane Southbound @ Twin Streams,,43.905578,,,1,,2,-78.964539,129
12:1,,0,Northbound @ 3093 Garden,,43.901464,,,1,,2,-78.940766,12
1300:1,,0,Olive Eastbound @ Lasalle,,43.89248,,,1,,2,-78.842598,1300
1301:1,,0,Olive Eastbound @ Highland,,43.892801,,,1,,2,-78.841125,1301
1302:1,,0,Olive Eastbound @ Windsor,,43.893281,,,1,,2,-78.839043,1302
1303:1,,0,Olive Eastbound @ Guelph,,43.89384600000001,,,1,,2,-78.836642,1303
1304:1,,0,Olive Eastbound @ Poplar,,43.894358,,,1,,2,-78.834306,1304
1305:1,,0,Olive Eastbound @ Elmridge,,43.89498,,,1,,1,-78.831355,1305
1306:1,,0,Olive Eastbound @ Harcourt,,43.895449,,,2,,1,-78.829032,1306
1307:1,,0,Olive Eastbound @ Florell,,43.89581297,,,1,,2,-78.827236,1307
1308:1,,0,Olive Eastbound @ Dianne,,43.89644,,,1,,2,-78.824685,1308
1309:1,,0,Olive Eastbound @ Keewatin,,43.896856,,,1,,2,-78.821788,1309
1339:1,,0,Rosswell Northbound @ Bloor,,43.891145,,,2,,2,-78.798484,1339
1353:1,,0,Northbound @ 1185 Mary,,43.928625,,,1,,2,-78.873907,1353
1354:1,,0,Nonquon Northbound @ Mary,,43.931137,,,1,,2,-78.87249799999998,1354
1355:1,,0,Mary Northbound @ Nonquon,,43.93247800000001,,,1,,2,-78.87221,1355
1356:1,,0,Mary Northbound @ Taunton,,43.93385593,,,1,,2,-78.872776,1356
1359:1,,0,Park Southbound @ King,,43.895694,,,2,,2,-78.873767,1359
1360:1,,0,Park Southbound @ Pine,,43.893793,,,2,,2,-78.87290299999998,1360
1361:1,,0,Park Southbound @ Elmgrove,,43.891968,,,2,,2,-78.872083,1361
1362:1,,0,Park Southbound @ Marland,,43.88699031,,,2,,2,-78.869855,1362
1363:1,,0,Park Northbound @ John,,43.8922679,,,2,,2,-78.8719904,1363
1364:1,,0,Park Northbound @ King,,43.8946786,,,2,,2,-78.873147,1364
1371:1,,0,Beatrice Westbound @ Sycamore,,43.929548,,,1,,2,-78.869207,1371
1372:1,,0,Beatrice Westbound @ Mary,,43.926963,,,1,,2,-78.872625,1372
138:1,,0,McQuay Southbound @ Roan,,43.881419,,,1,,2,-78.966575,138
1392:1,,0,North Northbound @ Monroe,,43.921392,,,2,,2,-78.593264,1392
1395:1,,0,Main Southbound @ Millson Hill,,43.984184,,,2,,2,-78.620589,1395
1396:1,,0,Main Southbound @ Centreview,,43.977406,,,1,,2,-78.617544,1396
139:1,,0,McQuay Southbound @ Kennett,,43.879842,,,1,,2,-78.96569599999998,139
13:1,,0,Garden Northbound @ Bassett (North stop),,43.903334,,,1,,2,-78.941556,13
1408:1,,0,Mill Northbound @ King,,43.917763,,,1,,2,-78.588888,1408
140:1,,0,McQuay Southbound @ Moonstone,,43.878277,,,1,,2,-78.963114,140
1410:1,,0,North Southbound @ Grady,,43.921133,,,2,,2,-78.593093,1410
1411:1,,0,King Westbound @ North,,43.916949,,,1,,2,-78.591266,1411
1412:1,,0,King Eastbound @ Baldwin,,43.91693200000001,,,2,,2,-78.590838,1412
1413:1,,0,King Westbound @ Pedwell,,43.915658,,,1,,1,-78.59710699999998,1413
1414:1,,0,King Eastbound @ Massey,,43.915331,,,1,,2,-78.597667,1414
1415:1,,0,King Westbound @ Rudell,,43.914759,,,1,,2,-78.60070899999998,1415
1416:1,,0,Highway 2 Eastbound @ Rudell Road,,43.914433,,,2,,2,-78.60155,1416
141:1,,0,McQuay Southbound @ Allayden,,43.876649,,,1,,2,-78.962215,141
1430:1,,0,King Westbound @ Liberty,,43.910554,,,2,,2,-78.680784,1430
1431:1,,0,King Westbound @ George,,43.911481,,,2,,2,-78.68621,1431
1432:1,,0,King Westbound @ Temperance,,43.91215300000001,,,2,,1,-78.688526,1432
1433:1,,0,King Westbound @ Roenigk,,43.912962,,,1,,2,-78.695055,1433
1436:1,,0,Highway 2 Westbound @ Boswell,,43.909692,,,1,,2,-78.71688,1436
1452:1,,0,King Eastbound @ Roenigk,,43.912771,,,1,,2,-78.694976,1452
1454:1,,0,King Eastbound @ Division,,43.911662,,,2,,2,-78.687321,1454
1455:1,,0,King Eastbound @ Ontario,,43.911026,,,2,,2,-78.684811,1455
1456:1,,0,King Eastbound @ Liberty,,43.91041,,,1,,2,-78.680907,1456
1476:1,,0,Scugog Southbound @ Longworth,,43.924876,,,1,,2,-78.697139,1476
1477:1,,0,Scugog Southbound @ Jackman,,43.920873,,,1,,2,-78.695321,1477
1478:1,,0,Scugog Southbound @ O'Dell,,43.916997,,,2,,2,-78.69368299999998,1478
1479:1,,0,Church Eastbound @ Scugog Street,,43.913909,,,1,,2,-78.691688,1479
1480:1,,0,Church Eastbound @ Temperance,,43.913138,,,2,,1,-78.688545,1480
1494:1,,0,Liberty Southbound @ Park,,43.90430979,,,2,,2,-78.67758996,1494
1498:1,,0,Simpson Northbound @ King,,43.911329,,,1,,1,-78.675014,1498
1499:1,,0,Prince Eastbound @ Liberty (Lakeridge Health Bowmanville),,43.908346,,,1,,2,-78.678921,1499
14:1,,0,Garden Northbound @ Dryden,,43.904811,,,1,,2,-78.942227,14
1504:1,,0,Clarington Boulevard Southbound @ Prince William,,43.908456,,,1,,1,-78.70716,1504
1519:1,,0,Pine Grove Westbound @ Nordane,,43.825165,,,1,,2,-79.145977,1519
151:1,,0,BURNS @ HENRY e ns,,43.870396,,,2,,2,-78.943946,151
152:1,,0,BURNS @ CENTRE e fs,,43.871125,,,2,,2,-78.940651,152
1547:1,,0,Strouds Lane Eastbound @ Autumn,,43.825601,,,1,,2,-79.132569,1547
1548:1,,0,Strouds Lane Eastbound @ Rosebank,,43.826216,,,1,,2,-79.130377,1548
1574:1,,0,Strouds Lane Northbound @ Fernam,,43.827652,,,1,,2,-79.126176,1574
1575:1,,0,Strouds Lane Eastbound @ Foxwood Trail,,43.828696,,,1,,2,-79.124103,1575
1586:1,,0,Strouds Lane Westbound @ Whites (West side stop),,43.829426,,,1,,2,-79.121337,1586
1587:1,,0,Kingston Westbound @ Audley,,43.868228,,,2,,2,-78.995249,1587
1588:1,,0,Kingston Westbound @ Alexanders Crossing,,43.86702,,,1,,2,-79.00077,1588
1590:1,,0,Kingston Westbound @ Wicks,,43.8643554,,,1,,2,-79.0125542,1590
1591:1,,0,Kingston Westbound @ Salem,,43.8634084,,,1,,1,-79.0168413,1591
1593:1,,0,Westbound @ 84 Kingston,,43.862111,,,1,,2,-79.022563,1593
1594:1,,0,Kingston Westbound @ Harwood,,43.8611712,,,1,,1,-79.0267418,1594
1595:1,,0,Westbound @ 132 Kingston,,43.859995,,,1,,2,-79.031718,1595
1596:1,,0,Kingston Westbound @ Chapman,,43.859254,,,1,,2,-79.035043,1596
1597:1,,0,Kingston Westbound @ Westney Heights Plaza,,43.85832,,,1,,2,-79.03932,1597
1598:1,,0,Kingston Westbound @ Westney,,43.85744,,,1,,1,-79.043041,1598
1599:1,,0,Kingston Westbound @ Mill,,43.856298,,,2,,2,-79.047905,1599
15:1,,0,Garden Northbound @ Willowbrook,,43.908512,,,1,,2,-78.943865,15
1600:1,,0,Kingston Westbound @ Church,,43.85465700000001,,,2,,1,-79.05529,1600
1601:1,,0,Kingston Westbound @ Elizabeth,,43.853329,,,1,,2,-79.060678,1601
1602:1,,0,Kingston Westbound @ Notion,,43.852381,,,1,,2,-79.064752,1602
1603:1,,0,Kingston Westbound @ Bainbridge,,43.8501483,,,1,,2,-79.0710031,1603
1604:1,,0,Kingston Westbound @ Brock Road,,43.84772,,,1,,1,-79.07452499999998,1604
1607:1,,0,Kingston Westbound @ Valley Farm,,43.84172800000001,,,1,,2,-79.083084,1607
1608:1,,0,Kingston Westbound @ Glenanna,,43.83815,,,1,,1,-79.08748,1608
1609:1,,0,Kingston Westbound @ Liverpool,,43.83548,,,1,,1,-79.09104,1609
1610:1,,0,Kingston Westbound @ Walnut,,43.83097019,,,1,,2,-79.09672757,1610
1611:1,,0,Kingston Westbound @ Dixie,,43.82906,,,1,,1,-79.098675,1611
1612:1,,0,Kingston Westbound @ Fairport,,43.823716,,,1,,1,-79.106421,1612
1613:1,,0,Westbound @ 804 Kingston,,43.821703,,,1,,2,-79.111949,1613
1615:1,,0,Kingston Westbound @ Steeple Hill,,43.817215,,,1,,1,-79.118076,1615
1616:1,,0,Kingston Westbound @ Rosebank,,43.81332,,,1,,2,-79.123324,1616
1617:1,,0,Kingston Westbound @ Rougemount,,43.809718,,,1,,2,-79.129028,1617
1645:1,,0,West Shore Southbound @ Vistula,,43.82025,,,1,,2,-79.105278,1645
1662:1,,0,West Shore Southbound @ Cecylia,,43.8189771,,,1,,2,-79.1047516,1662
1663:1,,0,West Shore Southbound @ Samford,,43.817692,,,1,,2,-79.104211,1663
1664:1,,0,West Shore Southbound @ Breezy,,43.815805,,,2,,2,-79.10339399999998,1664
166:1,,0,Brock Street Northbound @ Arthur,,43.86900700000001,,,2,,2,-78.937411,166
1673:1,,0,West Shore Northbound @ Breezy,,43.815597,,,1,,2,-79.103191,1673
1674:1,,0,West Shore Northbound @ Samford,,43.817582,,,1,,2,-79.104031,1674
1675:1,,0,West Shore Northbound @ Cecylia,,43.818659,,,1,,2,-79.10448599999998,1675
167:1,,0,Brock Street Northbound @ St Peter,,43.87108400000001,,,2,,1,-78.93832,167
1685:1,,0,Oklahoma Westbound @ West Shore,,43.813826,,,1,,2,-79.103099,1685
1686:1,,0,Westbound @ 838 Oklahoma,,43.813337,,,1,,2,-79.105305,1686
1687:1,,0,Oklahoma Westbound @ Hillcrest,,43.813024,,,1,,2,-79.10671499999998,1687
1689:1,,0,Bayly Eastbound @ West Shore,,43.821218,,,1,,2,-79.105446,1689
168:1,,0,Brock Street Northbound @ Burns,,43.872514,,,2,,2,-78.938948,168
1693:1,,0,Bayly Eastbound @ St Martins,,43.827085,,,1,,2,-79.092836,1693
1694:1,,0,Bayly Eastbound @ Liverpool,,43.828787,,,1,,2,-79.08666599999998,1694
1695:1,,0,Bayly Eastbound @ Krosno,,43.829995,,,2,,2,-79.08099799999998,1695
169:1,,0,Brock Street Northbound @ Trent,,43.873574,,,2,,2,-78.93940499999998,169
16:1,,0,Garden Northbound @ Meadowglen,,43.91038600000001,,,1,,2,-78.944674,16
1701:1,,0,Alyssum Eastbound @ Lublin,,43.824092,,,1,,2,-79.075833,1701
1703:1,,0,Sandy Beach @ Parkham,,43.819293,,,1,,2,-79.072432,1703
1706:1,,0,Montgomery Park Eastbound @ OPG Pickering,,43.8143165023665,,,2,,2,-79.06519369171588,1706
1707:1,,0,Montgomery Park Eastbound @ Brock Road,,43.815436,,,2,,2,-79.06028999999998,1707
1709:1,,0,McKay Northbound @ Montgomery Park,,43.819181,,,2,,2,-79.05741,1709
170:1,,0,Brock Street Northbound @ Gilbert,,43.87664417732835,,,2,,2,-78.9408107746133,170
1711:1,,0,Squires Beach Northbound @ McKay,,43.821982,,,2,,2,-79.05191499999998,1711
