trip_headsign,service_id,direction_id,block_id,route_id,shape_id,wheelchair_accessible,direction_name,trip_id
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4018_Timetable_-_2024-02,403,100.0.1046829277_Timetable_-_2024-02,1,Northbound,113__4018_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4013_Timetable_-_2024-02,403,100.0.1046829277_Timetable_-_2024-02,1,Northbound,114__4013_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4001_Timetable_-_2024-02,403,100.0.1046829277_Timetable_-_2024-02,1,Northbound,115__4001_Timetable_-_2024-02
Oshawa Station,Weekday_merged_999976,1,a_4067_Timetable_-_2024-02,403,100.0.1046829271_Timetable_-_2024-02,1,Southbound,116__4067_Timetable_-_2024-02
B - Phillip Murray,Weekday_merged_999976,1,a_4016_Timetable_-_2024-02,403,100.0.1667218438_Timetable_-_2024-02,1,Southbound,1175__4016_Timetable_-_2024-02
B - Phillip Murray,Weekday_merged_999976,1,a_4069_Timetable_-_2024-02,403,100.0.1667218438_Timetable_-_2024-02,1,Southbound,1176__4069_Timetable_-_2024-02
B - Phillip Murray,Weekday_merged_999976,1,a_4027_Timetable_-_2024-02,403,100.0.1667218438_Timetable_-_2024-02,1,Southbound,1177__4027_Timetable_-_2024-02
B - Phillip Murray,Weekday_merged_999976,1,a_4024_Timetable_-_2024-02,403,100.0.1667218438_Timetable_-_2024-02,1,Southbound,1178__4024_Timetable_-_2024-02
B - Phillip Murray,Weekday_merged_999976,1,a_4070_Timetable_-_2024-02,403,100.0.1667218438_Timetable_-_2024-02,1,Southbound,1179__4070_Timetable_-_2024-02
Oshawa Station,Weekday_merged_999976,1,a_4001_Timetable_-_2024-02,403,100.0.1046829271_Timetable_-_2024-02,1,Southbound,117__4001_Timetable_-_2024-02
B - Phillip Murray,Weekday_merged_999976,1,a_4020_Timetable_-_2024-02,403,100.0.1667218438_Timetable_-_2024-02,1,Southbound,1180__4020_Timetable_-_2024-02
B - Phillip Murray,Weekday_merged_999976,1,a_4027_Timetable_-_2024-02,403,100.0.1667218438_Timetable_-_2024-02,1,Southbound,1181__4027_Timetable_-_2024-02
B - Phillip Murray,Weekday_merged_999976,1,a_4017_Timetable_-_2024-02,403,100.0.1667218438_Timetable_-_2024-02,1,Southbound,1182__4017_Timetable_-_2024-02
B - Phillip Murray,Weekday_merged_999976,1,a_4029_Timetable_-_2024-02,403,100.0.1667218438_Timetable_-_2024-02,1,Southbound,1183__4029_Timetable_-_2024-02
B - Phillip Murray,Weekday_merged_999976,1,a_4011_Timetable_-_2024-02,403,100.0.1667218438_Timetable_-_2024-02,1,Southbound,1184__4011_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4020_Timetable_-_2024-02,403,100.0.1667218439_Timetable_-_2024-02,1,Northbound,1185__4020_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4016_Timetable_-_2024-02,403,100.0.1667218439_Timetable_-_2024-02,1,Northbound,1186__4016_Timetable_-_2024-02
Oshawa Centre Terminal,Weekday_merged_999976,0,a_4069_Timetable_-_2024-02,403,100.0.1667218439_Timetable_-_2024-02,1,Northbound,1187__4069_Timetable_-_2024-02
