route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
110,26JA05-CPBlock-Weekday-11,29342777,110 N Express University Exp,,0,2740874,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342778,110 S Express University Exp,,1,2740871,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342779,110 N Express University Exp,,0,2740871,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342780,110 S Express University Exp,,1,2740871,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342781,110 N Express University Exp,,0,2741108,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342782,110 N Express University Exp,,0,2740871,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342783,110A S Express University Exp,,1,2740954,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342784,110 S Express University Exp,,1,2740875,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342785,110 N Express University Exp,,0,2740873,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342786,110A N Express University Exp,,0,2740876,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342787,110A N Express University Exp,,0,2740954,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342788,110A S Express University Exp,,1,2740953,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342789,110 S Express University Exp,,1,2740874,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342790,110 N Express University Exp,,0,2740871,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342791,110A S Express University Exp,,1,2740876,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342792,110 S Express University Exp,,1,2741108,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342793,110A S Express University Exp,,1,2740954,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342794,110A N Express University Exp,,0,2740953,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342795,110 S Express University Exp,,1,2740873,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342796,110 N Express University Exp,,0,2740875,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342797,110A N Express University Exp,,0,2740876,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342798,110 N Express University Exp,,0,2740874,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342799,110A S Express University Exp,,1,2740953,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342800,110 S Express University Exp,,1,2740871,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342801,110A S Express University Exp,,1,2740876,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342802,110A N Express University Exp,,0,2740954,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342803,110 N Express University Exp,,0,2741108,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342804,110 S Express University Exp,,1,2740875,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342805,110A N Express University Exp,,0,2740953,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342806,110 S Express University Exp,,1,2740874,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342807,110 N Express University Exp,,0,2740871,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342808,110 S Express University Exp,,1,2741108,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342809,110 N Express University Exp,,0,2740873,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342810,110A S Express University Exp,,1,2740953,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342811,110A N Express University Exp,,0,2740954,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342812,110A N Express University Exp,,0,2740876,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342813,110A S Express University Exp,,1,2740954,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342814,110 S Express University Exp,,1,2740873,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342815,110 N Express University Exp,,0,2740875,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342816,110A S Express University Exp,,1,2740876,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342817,110A N Express University Exp,,0,2740953,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342818,110A S Express University Exp,,1,2740954,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342819,110 N Express University Exp,,0,2741108,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342820,110 N Express University Exp,,0,2740871,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342821,110 S Express University Exp,,1,2740874,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342822,110 N Express University Exp,,0,2740873,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342823,110 S Express University Exp,,1,2740871,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342824,110 N Express University Exp,,0,2740874,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342825,110 S Express University Exp,,1,2740875,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342826,110A N Express University Exp,,0,2740954,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342827,110A S Express University Exp,,1,2740954,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342828,110A S Express University Exp,,1,2740953,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342829,110A N Express University Exp,,0,2740876,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342830,110A S Express University Exp,,1,2740876,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342831,110A N Express University Exp,,0,2740953,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342832,110 S Express University Exp,,1,2741108,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342833,110 N Express University Exp,,0,2740875,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342834,110A S Express University Exp,,1,2740953,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342835,110A N Express University Exp,,0,2740876,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342836,110 S Express University Exp,,1,2740873,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342837,110 N Express University Exp,,0,2741108,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342838,110 S Express University Exp,,1,2740871,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342839,110 N Express University Exp,,0,2740874,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342840,110 S Express University Exp,,1,2740875,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342841,110A S Express University Exp,,1,2740954,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342842,110A N Express University Exp,,0,2740876,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342843,110A N Express University Exp,,0,2740953,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342844,110A S Express University Exp,,1,2740876,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342845,110A N Express University Exp,,0,2740954,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342846,110 S Express University Exp,,1,2740874,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342847,110 N Express University Exp,,0,2740873,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342848,110A N Express University Exp,,0,2740954,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342849,110A S Express University Exp,,1,2740953,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342850,110 N Express University Exp,,0,2740871,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342851,110A S Express University Exp,,1,2740876,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342852,110 S Express University Exp,,1,2741108,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342853,110A S Express University Exp,,1,2740954,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342854,110A N Express University Exp,,0,2740953,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342855,110 S Express University Exp,,1,2740873,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342856,110 N Express University Exp,,0,2740874,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342857,110 N Express University Exp,,0,2740875,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342858,110A N Express University Exp,,0,2740954,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342859,110A S Express University Exp,,1,2740953,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342860,110A N Express University Exp,,0,2740876,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342861,110 N Express University Exp,,0,2741108,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342862,110 S Express University Exp,,1,2740871,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342863,110 S Express University Exp,,1,2740875,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342864,110A S Express University Exp,,1,2740876,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342865,110A N Express University Exp,,0,2740953,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342866,110 N Express University Exp,,0,2740873,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342867,110A S Express University Exp,,1,2740954,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342868,110 N Express University Exp,,0,2740873,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342869,110 N Express University Exp,,0,2740871,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342870,110 S Express University Exp,,1,2740874,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342871,110 S Express University Exp,,1,2740874,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342872,110 N Express University Exp,,0,2740874,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342873,110 S Express University Exp,,1,2740875,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342874,110 N Express University Exp,,0,2740875,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342875,110A N Express University Exp,,0,2740954,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342876,110A S Express University Exp,,1,2740876,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342877,110A N Express University Exp,,0,2740876,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342878,110A S Express University Exp,,1,2740876,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342879,110A N Express University Exp,,0,2740953,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342880,110A S Express University Exp,,1,2740953,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342881,110A S Express University Exp,,1,2740953,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342882,110A N Express University Exp,,0,2740954,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342883,110A S Express University Exp,,1,2740954,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342884,110A N Express University Exp,,0,2740876,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342885,110 N Express University Exp,,0,2741108,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342886,110 S Express University Exp,,1,2741108,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342887,110 S Express University Exp,,1,2740873,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342888,110 S Express University Exp,,1,2740871,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342889,110 S Express University Exp,,1,2740875,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342890,110 N Express University Exp,,0,2740874,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342891,110 N Express University Exp,,0,2740875,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342892,110A N Express University Exp,,0,2740953,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342893,110A N Express University Exp,,0,2740876,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342894,110A S Express University Exp,,1,2740953,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342895,110A N Express University Exp,,0,2740953,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342896,110A S Express University Exp,,1,2740954,1100146,1,1
110,26JA05-CPBlock-Weekday-11,29342897,110A N Express University Exp,,0,2740954,1100144,1,1
110,26JA05-CPBlock-Weekday-11,29342898,110 S Express University Exp,,1,2740873,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342899,110 N Express University Exp,,0,2740873,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342900,110 S Express University Exp,,1,2741108,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342901,110 N Express University Exp,,0,2740871,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342902,110 S Express University Exp,,1,2740871,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342903,110 N Express University Exp,,0,2740872,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342904,110 S Express University Exp,,1,2740874,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342905,110 N Express University Exp,,0,2740873,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342906,110 N Express University Exp,,0,2740874,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342907,110 S Express University Exp,,1,2740874,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342908,110 S Express University Exp,,1,2740875,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342909,110 N Express University Exp,,0,2740875,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342910,110 N Express University Exp,,0,2740871,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342911,110 S Express University Exp,,1,2740873,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342912,110 S Express University Exp,,1,2740871,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342913,110 N Express University Exp,,0,2740872,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342914,110 S Express University Exp,,1,2740872,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342915,110 N Express University Exp,,0,2740874,1100143,1,1
110,26JA05-CPBlock-Weekday-11,29342916,110 N Express University Exp,,0,2740875,1100143,1,1
110,26JA05-CPBlock-Weekday-11,29342917,110 N Express University Exp,,0,2740872,1100143,1,1
110,26JA05-CPBlock-Weekday-11,29342918,110 S Express University Exp,,1,2740871,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342919,110 N Express University Exp,,0,2740871,1100150,1,1
110,26JA05-CPBlock-Weekday-11,29342920,110 S Express University Exp,,1,2740872,1100149,1,1
110,26JA05-CPBlock-Weekday-11,29342921,110 S Express University Exp,,1,2740873,1100149,1,1
126,26JA05-CPBlock-Weekday-11,29342922,126 W Express Burnhamthorpe Exp,,1,2740848,1260013,1,1
126,26JA05-CPBlock-Weekday-11,29342923,126 E Express Burnhamthorpe Exp,,0,2740848,1260012,1,1
126,26JA05-CPBlock-Weekday-11,29342924,126 E Express Burnhamthorpe Exp,,0,2740858,1260012,1,1
126,26JA05-CPBlock-Weekday-11,29342925,126 W Express Burnhamthorpe Exp,,1,2740848,1260013,1,1
126,26JA05-CPBlock-Weekday-11,29342926,126 W Express Burnhamthorpe Exp,,1,2740858,1260013,1,1
126,26JA05-CPBlock-Weekday-11,29342927,126 E Express Burnhamthorpe Exp,,0,2740858,1260012,1,1
126,26JA05-CPBlock-Weekday-11,29342928,126 E Express Burnhamthorpe Exp,,0,2740848,1260012,1,1
126,26JA05-CPBlock-Weekday-11,29342929,126 W Express Burnhamthorpe Exp,,1,2740857,1260013,1,1
126,26JA05-CPBlock-Weekday-11,29342930,126 E Express Burnhamthorpe Exp,,0,2740857,1260012,1,1
126,26JA05-CPBlock-Weekday-11,29342931,126 W Express Burnhamthorpe Exp,,1,2740857,1260013,1,1
126,26JA05-CPBlock-Weekday-11,29342932,126 E Express Burnhamthorpe Exp,,0,2740857,1260012,1,1
126,26JA05-CPBlock-Weekday-11,29342933,126 W Express Burnhamthorpe Exp,,1,2740832,1260013,1,1
126,26JA05-CPBlock-Weekday-11,29342934,126 W Express Burnhamthorpe Exp,,1,2740833,1260013,1,1
126,26JA05-CPBlock-Weekday-11,29342935,126 E Express Burnhamthorpe Exp,,0,2740832,1260012,1,1
126,26JA05-CPBlock-Weekday-11,29342936,126 W Express Burnhamthorpe Exp,,1,2740833,1260013,1,1
126,26JA05-CPBlock-Weekday-11,29342937,126 E Express Burnhamthorpe Exp,,0,2740832,1260012,1,1
126,26JA05-CPBlock-Weekday-11,29342938,126 E Express Burnhamthorpe Exp,,0,2740833,1260012,1,1
126,26JA05-CPBlock-Weekday-11,29342939,126 W Express Burnhamthorpe Exp,,1,2740832,1260013,1,1
126,26JA05-CPBlock-Weekday-11,29342940,126 E Express Burnhamthorpe Exp,,0,2740833,1260012,1,1
