stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
355825,1846,Opposite 1621 WATERDOWN,WATERDOWN RD & #1621 WATERDOWN RD,43.320999,-79.872473,,,,,,0
355828,1849,WATERDOWN at OLD WATERDOWN,WATERDOWN RD & OLD WATERDOWN RD,43.327279,-79.881267,,,,,,0
355829,1850,WATERDOWN opposite OLD WATERDOWN,WATERDOWN RD & OLD WATERDOWN RD,43.32702,-79.881032,,,,,,0
355830,1292,CANNON at OTTAWA,CANNON ST E & OTTAWA ST N,43.247482,-79.817051,,,,,,0
355831,1276,CANNON at BALMORAL,CANNON ST E & BALMORAL AV N,43.247976,-79.819946,,,,,,0
355833,1501,RYMAL at DAVINCI,RYMAL RD W & DAVINCI BV,43.208279,-79.917388,,,,,,0
355835,2019,AIRPORT at CANADIAN WARPLANE HERITAGE,AIRPORT RD W & CANADIAN WARPLANE HERITAGE,43.159225,-79.926711,,,,,,0
355836,2018,AIRPORT opposite CANADIAN WARPLANE HERITAGE,AIRPORT RD W & CANADIAN WARPLANE HERITAGE,43.159118,-79.926625,,,,,,0
355847,2924,CHESTER at ANNABELLE,CHESTER AV & ANNABELLE ST,43.216096,-79.894059,,,,,,0
355848,5043,PRITCHARD at MUD,PRITCHARD RD & MUD ST,43.200647,-79.816344,,,,,,0
355850,5043,At 211 PRITCHARD,PRITCHARD RD & #211,43.195517,-79.818502,,,,,,0
355851,4702,MUD at PRITCHARD,MUD ST W & PRITCHARD RD,43.200665,-79.816517,,,,,,0
355853,5166,STONE CHURCH at REDHILL VALLEY PKWY,STONE CHURCH RD E & RAMP RHVP SB TO STONE CHURCH,43.192739,-79.815736,,,,,,0
355864,1857,PARKSIDE at HAMILTON,PARKSIDE DR & HAMILTON ST N,43.337098,-79.904561,,,,,,0
355865,1859,PARKSIDE at KEEWAYDIN,PARKSIDE DR & KEEWAYDIN ST,43.333247,-79.909766,,,,,,0
355866,1867,PARKSIDE at WIMBERLY,PARKSIDE DR & WIMBERLY AV,43.33158,-79.912045,,,,,,0
355867,1869,PARKSIDE at MOSAIC,PARKSIDE DR & MOSAIC AV,43.329001,-79.915539,,,,,,0
355870,1874,HOLLYBUSH at DUNDAS,HOLLYBUSH DR & DUNDAS ST E,43.319874,-79.909034,,,,,,0
355873,1879,WATERDOWN WALMART,,43.315208,-79.909603,,,,,,0
355878,1882,DUNDAS at HAMILTON,DUNDAS ST E & HAMILTON ST N,43.331133,-79.895367,,,,,,0
355879,1884,DUNDAS at MAIN,HIGHWAY NO. 5 E & MAIN ST N,43.333255,-79.892938,,,,,,0
355880,1871,HOLLYBUSH at DUNDAS,HOLLYBUSH DR & DUNDAS ST E,43.319964,-79.908935,,,,,,0
355896,2906,STONE CHURCH at REDHILL VALLEY PKWY,STONE CHURCH RD E & RAMP STONE CHURCH TO RHVP NB,43.192584,-79.814206,,,,,,0
355899,4422,RYMAL at PRITCHARD,RYMAL RD E & PRITCHARD RD,43.185213,-79.822484,,,,,,0
355900,4450,RYMAL opposite PRITCHARD,RYMAL RD E & PRITCHARD RD,43.185249,-79.822818,,,,,,0
355901,4419,GARNER at JOHN FREDERICK,GARNER RD E & JOHN FREDERICK DR,43.204962,-79.962829,,,,,,0
